DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
24-Feb-2026,EQ,"435.00","435.00","424.50","435.35","426.90","426.15","428.28","850.00","420.55",1184506,"50,72,97,292.40",25128
23-Feb-2026,EQ,"444.95","448.40","433.05","439.70","435.00","435.35","437.87","850.00","420.55",658403,"28,82,92,709.70",25462
20-Feb-2026,EQ,"443.00","447.90","437.25","443.35","438.50","439.70","441.98","850.00","420.55",481546,"21,28,34,702.15",14414
19-Feb-2026,EQ,"442.00","448.25","434.55","439.30","443.00","443.35","441.69","850.00","420.55",853797,"37,71,09,741.05",20738
18-Feb-2026,EQ,"449.00","453.00","437.75","445.55","438.00","439.30","443.11","850.00","420.55",799885,"35,44,34,581.20",20135
17-Feb-2026,EQ,"441.35","447.95","436.50","441.10","446.90","445.55","443.78","850.00","420.55",1160045,"51,48,10,219.45",26046
16-Feb-2026,EQ,"440.00","442.70","433.00","440.00","442.70","441.10","438.45","850.00","420.55",567505,"24,88,22,857.75",15642
13-Feb-2026,EQ,"440.20","445.50","432.05","440.30","439.90","440.00","439.57","850.00","420.55",874806,"38,45,41,683.35",26469
12-Feb-2026,EQ,"435.00","455.90","431.15","432.25","442.00","440.30","447.57","850.00","420.55",5902414,"2,64,17,64,060.45",109463
11-Feb-2026,EQ,"440.00","441.25","426.00","440.00","436.90","432.25","430.51","850.00","420.55",4202483,"1,80,92,18,473.10",64421
